hotel_name;locality;price;rating;score;review;link
Cartwrights;Cape Town CBD, Cape Town;2,545;Superb;9.1;43 reviews;https://www.booking.com/hotel/za/cartwrights-suites.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=705716001_295393392_2_2_0&highlighted_blocks=705716001_295393392_2_2_0&matching_block_id=705716001_295393392_2_2_0&sr_pri_blocks=705716001_295393392_2_2_0__254541&from=searchresults
Habitat Aparthotel by Totalstay;Cape Town CBD, Cape Town;730;Very good;8.2;3,318 reviews;https://www.booking.com/hotel/za/habitat-aparthotel-by-totalstay.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1126353007_386156054_0_2_0_413166&highlighted_blocks=1126353007_386156054_0_2_0_413166&matching_block_id=1126353007_386156054_0_2_0_413166&sr_pri_blocks=1126353007_386156054_0_2_0_413166_73022&from=searchresults
Beachwood Camps Bay;Camps Bay, Cape Town (Bakoven);1,296;Very good;8.4;652 reviews;https://www.booking.com/hotel/za/beachwood-camps-bay.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=926472906_364428438_0_2_0&highlighted_blocks=926472906_364428438_0_2_0&matching_block_id=926472906_364428438_0_2_0&sr_pri_blocks=926472906_364428438_0_2_0__129600&from=searchresults
The Trade Boutique Hotel;Cape Town CBD, Cape Town;1,8;Fabulous;8.8;451 reviews;https://www.booking.com/hotel/za/the-trade-boutique.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1274624907_403041308_2_0_0&highlighted_blocks=1274624907_403041308_2_0_0&matching_block_id=1274624907_403041308_2_0_0&sr_pri_blocks=1274624907_403041308_2_0_0__180000&from=searchresults
Old Foundry Hotel by Ideas Cartel;City Bowl, Cape Town (De Waterkant);2,311;Good;7.6;1,600 reviews;https://www.booking.com/hotel/za/old-foundry.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=636114102_404690073_0_9_0_280474&highlighted_blocks=636114102_404690073_0_9_0_280474&matching_block_id=636114102_404690073_0_9_0_280474&sr_pri_blocks=636114102_404690073_0_9_0_280474_231135&from=searchresults
9 Palms by Smart City Stays;Century City, Cape Town (Milnerton);1,501;Very good;8.1;388 reviews;https://www.booking.com/hotel/za/9-palms-by-samrt-city-stays.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1134135402_386062493_2_0_0&highlighted_blocks=1134135402_386062493_2_0_0&matching_block_id=1134135402_386062493_2_0_0&sr_pri_blocks=1134135402_386062493_2_0_0__150075&from=searchresults
The Antrim Apartments by Totalstay;Green Point, Cape Town;1,263;Good;7.6;128 reviews;https://www.booking.com/hotel/za/antrim-villa-luxury-apartment.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=230066302_401150068_0_0_0_362835&highlighted_blocks=230066302_401150068_0_0_0_362835&matching_block_id=230066302_401150068_0_0_0_362835&sr_pri_blocks=230066302_401150068_0_0_0_362835_126324&from=searchresults
Cape Heritage Hotel;Cape Town CBD, Cape Town;2,798;Superb;9.1;649 reviews;https://www.booking.com/hotel/za/cape-heritage.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1941601_0_2_0_0&highlighted_blocks=1941601_0_2_0_0&matching_block_id=1941601_0_2_0_0&sr_pri_blocks=1941601_0_2_0_0__279783&from=searchresults
Sea Castle Hotel Camps Bay;Camps Bay, Cape Town;3,645;Fabulous;8.6;750 reviews;https://www.booking.com/hotel/za/primi-seacastle.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1552405_357596757_2_1_0_557308&highlighted_blocks=1552405_357596757_2_1_0_557308&matching_block_id=1552405_357596757_2_1_0_557308&sr_pri_blocks=1552405_357596757_2_1_0_557308_364500&from=searchresults
Twelve Apostles Hotel & Spa;Camps Bay, Cape Town;9,452;Fabulous;8.9;547 reviews;https://www.booking.com/hotel/za/twelve-apostles-spa.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1512501_0_2_1_0&highlighted_blocks=1512501_0_2_1_0&matching_block_id=1512501_0_2_1_0&sr_pri_blocks=1512501_0_2_1_0__945195&from=searchresults
Beachwave Camps Bay;Camps Bay, Cape Town (Bakoven);1,5;Superb;9.1;90 reviews;https://www.booking.com/hotel/za/drifty-camps-bay.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1316069103_404367396_2_0_0&highlighted_blocks=1316069103_404367396_2_0_0&matching_block_id=1316069103_404367396_2_0_0&sr_pri_blocks=1316069103_404367396_2_0_0__150000&from=searchresults
Vetho Villa;Camps Bay, Cape Town;1,377;Fabulous;8.8;458 reviews;https://www.booking.com/hotel/za/vetho-villa.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=38202308_394365870_2_0_0_684991&highlighted_blocks=38202308_394365870_2_0_0_684991&matching_block_id=38202308_394365870_2_0_0_684991&sr_pri_blocks=38202308_394365870_2_0_0_684991_137700&from=searchresults
Cape20 - Luxury Villa Stay;Bantry Bay, Cape Town;1,4;Good;7.0;106 reviews;https://www.booking.com/hotel/za/cape20-villa.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1372153706_409407188_2_0_0&highlighted_blocks=1372153706_409407188_2_0_0&matching_block_id=1372153706_409407188_2_0_0&sr_pri_blocks=1372153706_409407188_2_0_0__140000&from=searchresults
Hotel Bruxelles;Cape Town CBD, Cape Town;1,1;Very good;8.0;770 reviews;https://www.booking.com/hotel/za/bruxelles.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1275570616_403789761_2_0_0&highlighted_blocks=1275570616_403789761_2_0_0&matching_block_id=1275570616_403789761_2_0_0&sr_pri_blocks=1275570616_403789761_2_0_0__110000&from=searchresults
BlackBrick Cape Town Foreshore;Cape Town CBD, Cape Town;883;Good;7.6;1,481 reviews;https://www.booking.com/hotel/za/blackbrick-cape-town.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=721563102_399012422_2_2_0_225328&highlighted_blocks=721563102_399012422_2_2_0_225328&matching_block_id=721563102_399012422_2_2_0_225328&sr_pri_blocks=721563102_399012422_2_2_0_225328_88290&from=searchresults
Long Street Self Catering Apartments;Cape Town CBD, Cape Town;1,499;Very good;8.0;26 reviews;https://www.booking.com/hotel/za/long-street-boutique-self-catering-apartments.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1118806001_408254440_2_0_0&highlighted_blocks=1118806001_408254440_2_0_0&matching_block_id=1118806001_408254440_2_0_0&sr_pri_blocks=1118806001_408254440_2_0_0__149900&from=searchresults
The Tropicana Hotel;Sea Point, Cape Town;1,3;Very good;8.5;523 reviews;https://www.booking.com/hotel/za/the-tropicana.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaPsBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKszrrGBsACAdICJDk3M2ZmYWI5LWU3M2YtNGZlYS05N2ZkLWMwMTg0ZmQ4Yjc4NNgCAeACAQ&sid=84d923c6d6259adb595ed3873b90be62&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-02&dest_id=-1217214&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=804670eea306017e&srepoch=1758384221&all_sr_blocks=1310280901_411986821_2_0_0_712867&highlighted_blocks=1310280901_411986821_2_0_0_712867&matching_block_id=1310280901_411986821_2_0_0_712867&sr_pri_blocks=1310280901_411986821_2_0_0_712867_130000&from=searchresults
